column_name,dtype
RT,object
SERIALNO,object
DIVISION,int8
PUMA10,int16
PUMA20,int16
REGION,int8
ST,int8
ADJHSG,int32
ADJINC,int32
WGTP,int16
NP,int8
TYPEHUGQ,int8
ACCESSINET,float64
ACR,float64
AGS,float64
BATH,float64
BDSP,float64
BLD,float64
BROADBND,float64
COMPOTHX,float64
CONP,float64
DIALUP,float64
ELEFP,float64
ELEP,float64
FS,float64
FULFP,float64
FULP,float64
GASFP,float64
GASP,float64
HFL,float64
HISPEED,float64
HOTWAT,float64
INSP,float64
LAPTOP,float64
MHP,float64
MRGI,float64
MRGP,float64
MRGT,float64
MRGX,float64
OTHSVCEX,float64
REFR,float64
RMSP,float64
RNTM,float64
RNTP,float64
RWAT,float64
RWATPR,float64
SATELLITE,float64
SINK,float64
SMARTPHONE,float64
SMP,float64
STOV,float64
TABLET,float64
TEL,float64
TEN,float64
VACS,float64
VALP,float64
VEH,float64
WATFP,float64
WATP,float64
YRBLT,float64
CPLT,float64
FINCP,float64
FPARC,float64
GRNTP,float64
GRPIP,float64
HHL,float64
HHLANP,float64
HHLDRAGEP,float64
HHLDRHISP,float64
HHLDRRAC1P,float64
HHT,float64
HHT2,float64
HINCP,float64
HUGCL,float64
HUPAC,float64
HUPAOC,float64
HUPARC,float64
KIT,float64
LNGI,float64
MULTG,float64
MV,float64
NOC,float64
NPF,float64
NPP,float64
NR,float64
NRC,float64
OCPIP,float64
PARTNER,float64
PLM,float64
PLMPRP,float64
PSF,float64
R18,float64
R60,float64
R65,float64
RESMODE,float64
SMOCP,float64
SMX,float64
SRNT,float64
SVAL,float64
TAXAMT,float64
WIF,float64
WKEXREL,float64
WORKSTAT,float64
FACCESSP,float64
FACRP,float64
FAGSP,float64
FBATHP,float64
FBDSP,float64
FBLDP,float64
FBROADBNDP,float64
FCOMPOTHXP,float64
FCONP,float64
FDIALUPP,float64
FELEP,float64
FFINCP,float64
FFSP,int8
FFULP,float64
FGASP,float64
FGRNTP,float64
FHFLP,float64
FHINCP,float64
FHISPEEDP,float64
FHOTWATP,float64
FINSP,float64
FKITP,float64
FLAPTOPP,float64
FMHP,float64
FMRGIP,float64
FMRGP,float64
FMRGTP,float64
FMRGXP,float64
FMVP,float64
FOTHSVCEXP,float64
FPLMP,float64
FPLMPRP,float64
FREFRP,float64
FRMSP,float64
FRNTMP,float64
FRNTP,float64
FRWATP,float64
FRWATPRP,float64
FSATELLITEP,float64
FSINKP,float64
FSMARTPHONP,float64
FSMOCP,float64
FSMP,float64
FSMXHP,float64
FSMXSP,float64
FSTOVP,float64
FTABLETP,float64
FTAXP,float64
FTELP,float64
FTENP,float64
FVACSP,float64
FVALP,float64
FVEHP,float64
FWATP,float64
FYRBLTP,float64
WGTP1,int16
WGTP2,int16
WGTP3,int16
WGTP4,int16
WGTP5,int16
WGTP6,int16
WGTP7,int16
WGTP8,int16
WGTP9,int16
WGTP10,int16
WGTP11,int16
WGTP12,int16
WGTP13,int16
WGTP14,int16
WGTP15,int16
WGTP16,int16
WGTP17,int16
WGTP18,int16
WGTP19,int16
WGTP20,int16
WGTP21,int16
WGTP22,int16
WGTP23,int16
WGTP24,int16
WGTP25,int16
WGTP26,int16
WGTP27,int16
WGTP28,int16
WGTP29,int16
WGTP30,int16
WGTP31,int16
WGTP32,int16
WGTP33,int16
WGTP34,int16
WGTP35,int16
WGTP36,int16
WGTP37,int16
WGTP38,int16
WGTP39,int16
WGTP40,int16
WGTP41,int16
WGTP42,int16
WGTP43,int16
WGTP44,int16
WGTP45,int16
WGTP46,int16
WGTP47,int16
WGTP48,int16
WGTP49,int16
WGTP50,int16
WGTP51,int16
WGTP52,int16
WGTP53,int16
WGTP54,int16
WGTP55,int16
WGTP56,int16
WGTP57,int16
WGTP58,int16
WGTP59,int16
WGTP60,int16
WGTP61,int16
WGTP62,int16
WGTP63,int16
WGTP64,int16
WGTP65,int16
WGTP66,int16
WGTP67,int16
WGTP68,int16
WGTP69,int16
WGTP70,int16
WGTP71,int16
WGTP72,int16
WGTP73,int16
WGTP74,int16
WGTP75,int16
WGTP76,int16
WGTP77,int16
WGTP78,int16
WGTP79,int16
WGTP80,int16
