column_name,unique_values_count
RT,1
SERIALNO,74947
DIVISION,1
PUMA10,21
PUMA20,21
REGION,1
ST,1
ADJHSG,5
ADJINC,5
WGTP,239
NP,15
TYPEHUGQ,3
ACCESSINET,3
ACR,3
AGS,6
BATH,2
BDSP,7
BLD,10
BROADBND,2
COMPOTHX,2
CONP,64
DIALUP,2
ELEFP,3
ELEP,86
FS,2
FULFP,3
FULP,111
GASFP,4
GASP,54
HFL,9
HISPEED,2
HOTWAT,1
INSP,140
LAPTOP,2
MHP,128
MRGI,2
MRGP,124
MRGT,2
MRGX,3
OTHSVCEX,2
REFR,2
RMSP,17
RNTM,2
RNTP,114
RWAT,2
RWATPR,1
SATELLITE,2
SINK,2
SMARTPHONE,2
SMP,102
STOV,2
TABLET,2
TEL,2
TEN,4
VACS,7
VALP,662
VEH,7
WATFP,3
WATP,121
YRBLT,12
CPLT,4
FINCP,5734
FPARC,4
GRNTP,1581
GRPIP,101
HHL,5
HHLANP,97
HHLDRAGEP,78
HHLDRHISP,21
HHLDRRAC1P,9
HHT,7
HHT2,12
HINCP,6686
HUGCL,2
HUPAC,4
HUPAOC,4
HUPARC,4
KIT,2
LNGI,2
MULTG,2
MV,7
NOC,11
NPF,12
NPP,2
NR,2
NRC,11
OCPIP,101
PARTNER,5
PLM,2
PLMPRP,1
PSF,2
R18,2
R60,3
R65,3
RESMODE,3
SMOCP,3235
SMX,4
SRNT,2
SVAL,2
TAXAMT,67
WIF,4
WKEXREL,15
WORKSTAT,15
FACCESSP,2
FACRP,2
FAGSP,2
FBATHP,2
FBDSP,2
FBLDP,2
FBROADBNDP,2
FCOMPOTHXP,2
FCONP,2
FDIALUPP,2
FELEP,2
FFINCP,2
FFSP,2
FFULP,2
FGASP,2
FGRNTP,2
FHFLP,2
FHINCP,2
FHISPEEDP,2
FHOTWATP,1
FINSP,2
FKITP,2
FLAPTOPP,2
FMHP,2
FMRGIP,2
FMRGP,2
FMRGTP,2
FMRGXP,2
FMVP,2
FOTHSVCEXP,2
FPLMP,2
FPLMPRP,1
FREFRP,2
FRMSP,2
FRNTMP,2
FRNTP,2
FRWATP,2
FRWATPRP,1
FSATELLITEP,2
FSINKP,2
FSMARTPHONP,2
FSMOCP,2
FSMP,2
FSMXHP,2
FSMXSP,2
FSTOVP,2
FTABLETP,2
FTAXP,2
FTELP,2
FTENP,2
FVACSP,2
FVALP,2
FVEHP,2
FWATP,2
FYRBLTP,2
WGTP1,270
WGTP2,264
WGTP3,270
WGTP4,269
WGTP5,278
WGTP6,272
WGTP7,268
WGTP8,269
WGTP9,271
WGTP10,260
WGTP11,272
WGTP12,264
WGTP13,260
WGTP14,263
WGTP15,269
WGTP16,265
WGTP17,269
WGTP18,268
WGTP19,266
WGTP20,271
WGTP21,269
WGTP22,269
WGTP23,270
WGTP24,270
WGTP25,270
WGTP26,271
WGTP27,267
WGTP28,268
WGTP29,267
WGTP30,280
WGTP31,268
WGTP32,270
WGTP33,267
WGTP34,270
WGTP35,266
WGTP36,265
WGTP37,278
WGTP38,269
WGTP39,265
WGTP40,273
WGTP41,266
WGTP42,263
WGTP43,281
WGTP44,262
WGTP45,267
WGTP46,273
WGTP47,264
WGTP48,261
WGTP49,262
WGTP50,273
WGTP51,264
WGTP52,268
WGTP53,278
WGTP54,267
WGTP55,269
WGTP56,274
WGTP57,264
WGTP58,267
WGTP59,262
WGTP60,271
WGTP61,272
WGTP62,272
WGTP63,259
WGTP64,270
WGTP65,266
WGTP66,266
WGTP67,262
WGTP68,273
WGTP69,265
WGTP70,272
WGTP71,267
WGTP72,279
WGTP73,279
WGTP74,276
WGTP75,272
WGTP76,264
WGTP77,271
WGTP78,269
WGTP79,266
WGTP80,274
